baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed
ENSG00000233117,146.733941222826,-3.03690119846861,0.479252681450667,-6.33674325885064,2.34672548171478e-10,3.93429666196611e-08,Not Significant
ENSG00000198431,35777.6494298936,-1.6529858266556,0.262861907313488,-6.28841905451235,3.20715218353115e-10,5.32510614473229e-08,Not Significant
ENSG00000163513,21106.838311558,-1.55543578236869,0.248025803110654,-6.27126598467155,3.5812423512442e-10,5.88960884964617e-08,Not Significant
ENSG00000120162,85.7049906693407,-2.71759117086211,0.435700905304536,-6.23728603217527,4.45227466548412e-10,7.18522232930652e-08,Not Significant
ENSG00000127083,692.007140998526,-1.92680259516385,0.309142200265695,-6.23273882862914,4.58349982772516e-10,7.26127293808789e-08,Not Significant
ENSG00000115419,5850.07479849974,-1.30015418880156,0.209753736717189,-6.19847926978558,5.70113128804404e-10,8.86911126864365e-08,Not Significant
ENSG00000211448,1275.7103991174,-1.84608981831467,0.297764843327117,-6.19982465924159,5.65260996313482e-10,8.86911126864365e-08,Not Significant
ENSG00000229644,1683.20963624496,-1.15763515372558,0.187063579784259,-6.18845825072251,6.07554937052946e-10,9.36719522591988e-08,Not Significant
ENSG00000133142,4905.28119966949,-1.69777549566758,0.275778632647136,-6.15629818514592,7.44649602236487e-10,1.13793002932917e-07,Not Significant
ENSG00000081803,1881.34760914435,-1.56798419443291,0.255475868838983,-6.13750410776039,8.38280526995341e-10,1.25873288175266e-07,Not Significant
ENSG00000173918,1435.39659736038,-1.35209603638847,0.220256353416128,-6.13873795428717,8.31796456589158e-10,1.25873288175266e-07,Not Significant
ENSG00000172403,16290.4675191181,-1.6064234896845,0.263652897283516,-6.09294836596107,1.10849824953505e-09,1.65013342870442e-07,Not Significant
ENSG00000138356,4367.34726564881,-1.63137864783872,0.270711653245176,-6.02625941027083,1.67797786615721e-09,2.43490099099183e-07,Not Significant
ENSG00000116194,477.652508177351,-2.07582003017422,0.344801101044904,-6.02034049161541,1.7405055003691e-09,2.50458741503113e-07,Not Significant
ENSG00000174437,15381.2869659022,-1.12594543116301,0.187146994207789,-6.01636930333422,1.78372384963664e-09,2.54556557318393e-07,Not Significant
ENSG00000132970,1066.49984526308,-1.21204542413532,0.201520966345822,-6.0144879518659,1.80456187106278e-09,2.55419462209116e-07,Not Significant
ENSG00000196975,5853.69218677589,-1.24531805716462,0.207331735659676,-6.0064034731699,1.89683816949857e-09,2.6629757325936e-07,Not Significant
ENSG00000115828,434.686753046168,-1.55263735565273,0.259166240864157,-5.99089353025167,2.08691236155539e-09,2.90619376284987e-07,Not Significant
ENSG00000138074,710.749266177726,-1.31221207317971,0.219456304575331,-5.97937742421647,2.23992035063924e-09,3.06975750911416e-07,Not Significant
ENSG00000131459,1638.65455590836,-1.49976164649214,0.250812080973772,-5.97962283423251,2.23654857756275e-09,3.06975750911416e-07,Not Significant
